"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2017","1.0579","1.0558","1.0596","1.0537","","0.23%"
"02/22/2017","1.0555","1.0536","1.0575","1.0493","","0.19%"
"02/21/2017","1.0535","1.0614","1.0618","1.0525","","-0.70%"
"02/20/2017","1.0609","1.0616","1.0635","1.0603","","-0.02%"
"02/17/2017","1.0611","1.0674","1.0678","1.0604","","-0.57%"
"02/16/2017","1.0672","1.0601","1.0681","1.0589","","0.70%"
"02/15/2017","1.0598","1.0578","1.0610","1.0521","","0.20%"
"02/14/2017","1.0577","1.0598","1.0635","1.0560","","-0.19%"
"02/13/2017","1.0597","1.0636","1.0659","1.0591","","-0.39%"
"02/10/2017","1.0638","1.0656","1.0669","1.0607","","-0.15%"
"02/09/2017","1.0654","1.0699","1.0711","1.0650","","-0.40%"
"02/08/2017","1.0697","1.0683","1.0715","1.0640","","0.16%"
"02/07/2017","1.0680","1.0750","1.0752","1.0655","","-0.64%"
"02/06/2017","1.0749","1.0783","1.0804","1.0704","","-0.30%"
"02/03/2017","1.0781","1.0758","1.0799","1.0713","","0.21%"
"02/02/2017","1.0758","1.0769","1.0829","1.0754","","-0.08%"
"02/01/2017","1.0767","1.0798","1.0810","1.0732","","-0.26%"
"01/31/2017","1.0795","1.0697","1.0812","1.0683","","0.96%"
"01/30/2017","1.0692","1.0691","1.0742","1.0619","","-0.02%"
"01/27/2017","1.0694","1.0682","1.0726","1.0657","","0.13%"
"01/26/2017","1.0680","1.0745","1.0766","1.0657","","-0.60%"
"01/25/2017","1.0744","1.0732","1.0770","1.0711","","0.13%"
"01/24/2017","1.0730","1.0764","1.0777","1.0719","","-0.29%"
"01/23/2017","1.0761","1.0688","1.0770","1.0686","","0.58%"
"01/20/2017","1.0699","1.0665","1.0711","1.0624","","0.34%"
"01/19/2017","1.0663","1.0630","1.0678","1.0589","","0.31%"
"01/18/2017","1.0630","1.0713","1.0717","1.0626","","-0.77%"
"01/17/2017","1.0712","1.0600","1.0720","1.0595","","1.06%"
"01/16/2017","1.0600","1.0618","1.0637","1.0579","","-0.39%"
"01/13/2017","1.0641","1.0613","1.0673","1.0596","","0.29%"
"01/12/2017","1.0610","1.0583","1.0686","1.0571","","0.28%"
"01/11/2017","1.0580","1.0555","1.0624","1.0454","","0.26%"
"01/10/2017","1.0553","1.0575","1.0627","1.0551","","-0.18%"
"01/09/2017","1.0572","1.0539","1.0583","1.0509","","0.40%"
"01/06/2017","1.0530","1.0607","1.0623","1.0522","","-0.69%"
"01/05/2017","1.0603","1.0490","1.0617","1.0480","","1.12%"
"01/04/2017","1.0486","1.0406","1.0501","1.0389","","0.79%"
"01/03/2017","1.0404","1.0454","1.0492","1.0341","","-0.51%"
"01/02/2017","1.0457","1.0531","1.0537","1.0448","","-0.53%"
"12/30/2016","1.0513","1.0491","1.0655","1.0481","","0.22%"
"12/29/2016","1.0490","1.0418","1.0496","1.0406","","0.80%"
"12/28/2016","1.0407","1.0457","1.0481","1.0370","","-0.46%"
"12/27/2016","1.0455","1.0455","1.0465","1.0431","","0.02%"
"12/26/2016","1.0453","1.0453","1.0473","1.0437","","-0.01%"
"12/23/2016","1.0454","1.0436","1.0469","1.0425","","0.18%"
"12/22/2016","1.0435","1.0424","1.0501","1.0422","","0.12%"
"12/21/2016","1.0423","1.0389","1.0452","1.0381","","0.37%"
"12/20/2016","1.0385","1.0404","1.0419","1.0352","","-0.16%"
"12/19/2016","1.0402","1.0446","1.0481","1.0391","","-0.43%"
"12/16/2016","1.0447","1.0417","1.0475","1.0400","","0.34%"
"12/15/2016","1.0412","1.0536","1.0545","1.0366","","-1.17%"
"12/14/2016","1.0535","1.0627","1.0671","1.0496","","-0.85%"
"12/13/2016","1.0625","1.0635","1.0667","1.0603","","-0.08%"
"12/12/2016","1.0634","1.0553","1.0653","1.0524","","0.71%"
"12/09/2016","1.0559","1.0616","1.0631","1.0530","","-0.53%"
"12/08/2016","1.0615","1.0753","1.0874","1.0597","","-1.26%"
"12/07/2016","1.0751","1.0720","1.0770","1.0709","","0.32%"
"12/06/2016","1.0717","1.0764","1.0787","1.0698","","-0.42%"
"12/05/2016","1.0762","1.0677","1.0798","1.0505","","0.86%"
"12/02/2016","1.0670","1.0662","1.0691","1.0625","","0.09%"
